id,microchip,species,sex,size,potentDangerous,neighborhood
678191801018-FHPF,97810108191876,Felino,Hembra,Pequeño,false,USAQUEN
212339100230-CMPF,900032001933212,Canino,Macho,Pequeño,false,USAQUEN
369700000311-CMMF,900113000007963,Canino,Macho,Mediano,false,USAQUEN
216900000311-CMPF,900113000009612,Canino,Macho,Pequeño,false,USAQUEN
187592000311-CMGF,900113000295781,Canino,Macho,Grande,false,USAQUEN
487592000311-CMGF,900113000295784,Canino,Macho,Grande,false,USAQUEN
709592000311-CHMGF,900113000295907,Canino,Hembra,MuyGrande,false,USAQUEN
909592000311-CHGF,900113000295909,Canino,Hembra,Grande,false,USAQUEN
719592000311-CHMF,900113000295917,Canino,Hembra,Mediano,false,USAQUEN
919592000311-CMMGF,900113000295919,Canino,Macho,MuyGrande,false,USAQUEN
029592000311-CHPF,900113000295920,Canino,Hembra,Pequeño,false,USAQUEN
929592000311-CHPF,900113000295929,Canino,Hembra,Pequeño,false,USAQUEN
269592000311-CMMIF,900113000295962,Canino,Macho,Miniatura,false,USAQUEN
515224000311-CMMF,900113000422515,Canino,Macho,Mediano,false,USAQUEN
165224000311-CMGF,900113000422561,Canino,Macho,Grande,false,USAQUEN
975224000311-CHMIF,900113000422579,Canino,Hembra,Miniatura,false,USAQUEN
044744000311-CMGF,900113000447440,Canino,Macho,Grande,false,USAQUEN
874214000811-CHGF,900118000412478,Canino,Hembra,Grande,false,USAQUEN
988775000461-CMGF,900164000577889,Canino,Macho,Grande,false,USAQUEN
216912100461-CHPF,900164001219612,Canino,Hembra,Pequeño,false,USAQUEN
154742000052-CHMF,900250000247451,Canino,Hembra,Mediano,false,USAQUEN
854742000052-FMPF,900250000247458,Felino,Macho,Pequeño,false,USAQUEN
764742000052-CHGF,900250000247467,Canino,Hembra,Grande,false,USAQUEN
787742000052-CHMF,900250000247787,Canino,Hembra,Mediano,false,USAQUEN
215962000052-CHGF,900250000269512,Canino,Hembra,Grande,false,USAQUEN
658192000052-CMGF,900250000291856,Canino,Macho,Grande,false,USAQUEN
238314000052-CHMF,900250000413832,Canino,Hembra,Mediano,false,USAQUEN
711184000052-FHMF,900250000481117,Felino,Hembra,Mediano,false,USAQUEN
321184000052-FHMIF,900250000481123,Felino,Hembra,Miniatura,false,USAQUEN
881184000052-CHMF,900250000481188,Canino,Hembra,Mediano,false,USAQUEN
452184000052-CHMF,900250000481254,Canino,Hembra,Mediano,false,USAQUEN
162184000052-CMGT,900250000481261,Canino,Macho,Grande,true,USAQUEN
454184000052-CMMT,900250000481454,Canino,Macho,Mediano,true,USAQUEN
374184000052-CHPF,900250000481473,Canino,Hembra,Pequeño,false,USAQUEN
484184000052-CMMF,900250000481484,Canino,Macho,Mediano,false,USAQUEN
884184000052-CHMF,900250000481488,Canino,Hembra,Mediano,false,USAQUEN
005184000052-FHPF,900250000481500,Felino,Hembra,Pequeño,false,USAQUEN
205184000052-FMGF,900250000481502,Felino,Macho,Grande,false,USAQUEN
575184000052-CHGT,900250000481575,Canino,Hembra,Grande,true,USAQUEN
975184000052-CMMF,900250000481579,Canino,Macho,Mediano,false,USAQUEN
285184000052-CHMF,900250000481582,Canino,Hembra,Mediano,false,USAQUEN
385184000052-CHMF,900250000481583,Canino,Hembra,Mediano,false,USAQUEN
785184000052-CMMF,900250000481587,Canino,Macho,Mediano,false,USAQUEN
095184000052-CMPF,900250000481590,Canino,Macho,Pequeño,false,USAQUEN
576184000052-CMMF,900250000481675,Canino,Macho,Mediano,false,USAQUEN
718184000052-CHMT,900250000481817,Canino,Hembra,Mediano,true,USAQUEN
438184000052-CHMF,900250000481834,Canino,Hembra,Mediano,false,USAQUEN
538184000052-CMMIF,900250000481835,Canino,Macho,Miniatura,false,USAQUEN
938184000052-FMPF,900250000481839,Felino,Macho,Pequeño,false,USAQUEN
348184000052-CHMF,900250000481843,Canino,Hembra,Mediano,false,USAQUEN
748184000052-CHGT,900250000481847,Canino,Hembra,Grande,true,USAQUEN
358184000052-CMMF,900250000481853,Canino,Macho,Mediano,false,USAQUEN
659184000052-CMMF,900250000481956,Canino,Macho,Mediano,false,USAQUEN
561284000052-CHGF,900250000482165,Canino,Hembra,Grande,false,USAQUEN
742284000052-CMMF,900250000482247,Canino,Macho,Mediano,false,USAQUEN
