id,microchip,species,sex,size,potentDangerous,neighborhood
0000000-CMMF,100000000000000,CANINO,MACHO,MEDIANO,false,B. UNIDOS
0000060-FHMF,900250000600000,FELINO,HEMBRA,MEDIANO,false,TUNJUELITO
0000291-FMMF,978101081920000,FELINO,MACHO,MEDIANO,false,C. BOLIVAR
0001081-CMGF,978101081801000,CANINO,MACHO,GRANDE,false,USME
0001731-CMPF,941000021371000,CANINO,MACHO,PEQUEÑO,false,KENNEDY
0001840-CHGF,900250000481000,CANINO,HEMBRA,GRANDE,false,KENNEDY
0002001-CHMIF,966000101002000,CANINO,HEMBRA,MINIATURA,false,C. BOLIVAR
0002291-FHMF,978101081922000,FELINO,HEMBRA,MEDIANO,false,TEUSAQUILLO
0003021-CMPF,941000021203000,CANINO,MACHO,PEQUEÑO,false,SUBA
0005311-CMMT,991001001135000,CANINO,MACHO,MEDIANO,true,KENNEDY
0005511-FHMF,978101081155000,FELINO,HEMBRA,MEDIANO,false,USME
0006291-CHPF,978101081926000,CANINO,HEMBRA,PEQUEÑO,false,KENNEDY
0007291-CHPF,978101081927000,CANINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0007431-CMGF,978101081347000,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0007950-CHGF,900250000597000,CANINO,HEMBRA,GRANDE,false,C. BOLIVAR
0008291-FHPF,978101081928000,FELINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0008501-FHGF,966000101058000,FELINO,HEMBRA,GRANDE,false,ENGATIVA
0009880-FHPF,991001000889000,FELINO,HEMBRA,PEQUEÑO,false,B. UNIDOS
0010291-CMGF,978101081920100,CANINO,MACHO,GRANDE,false,KENNEDY
0011101-CHMF,966000101011100,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0011731-CMMIF,941000021371100,CANINO,MACHO,MINIATURA,false,SUBA
0011840-CMPF,900250000481100,CANINO,MACHO,PEQUEÑO,false,FONTIBON
0013001-CMGT,966000101003100,CANINO,MACHO,GRANDE,true,SAN CRISTOBAL
0013511-CHMIF,978101081153100,CANINO,HEMBRA,MINIATURA,false,SUBA
0013801-FHMF,978101081083100,FELINO,HEMBRA,MEDIANO,false,SUBA
0014291-CMMF,978101081924100,CANINO,MACHO,MEDIANO,false,MUNICIPIOS ALEDAÑOS BOGOTA D.C.
0015311-CHMF,991001001135100,CANINO,HEMBRA,MEDIANO,false,B. UNIDOS
0015390-CHMF,978101080935100,CANINO,HEMBRA,MEDIANO,false,ENGATIVA
0016291-FHMF,978101081926100,FELINO,HEMBRA,MEDIANO,false,BOSA
0017291-CHMF,978101081927100,CANINO,HEMBRA,MEDIANO,false,B. UNIDOS
0018291-CHPF,978101081928100,CANINO,HEMBRA,PEQUEÑO,false,SUBA
0018401-CMMIF,978101081048100,CANINO,MACHO,MINIATURA,false,P. ARANDA
0018950-CHMF,900250000598100,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0019301-CMGF,978101081039100,CANINO,MACHO,GRANDE,false,P. ARANDA
0019401-CHMF,978101081049100,CANINO,HEMBRA,MEDIANO,false,ENGATIVA
0019971-CHMF,978101081799100,CANINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0020101-CHMIF,966000101010200,CANINO,HEMBRA,MINIATURA,false,BOSA
0020291-FMGF,978101081920200,FELINO,MACHO,GRANDE,false,SUBA
